MSN,YYYYMM,Value,Column_Order,Description,Unit
NGWPUUS,199108,1.43,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199108,2.78,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199108,7.36,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199108,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199108,4.73,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199108,81.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199108,2.29,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199108,31.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199108,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199108,1.96,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199108,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199109,1.59,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199109,2.91,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199109,6.92,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199109,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199109,4.57,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199109,78.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199109,2.4,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199109,29.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
